"标题","作者","机构","年份","期刊","摘要","关键词","参考文献","DOI"
"Policy conflicts in shale development in China and the United StatesPalabras Clave(sic)(sic)(sic)","Bailey, KS; Yi, HT; Heikkila, T; Weible, CM","","","","Policy conflicts are ubiquitous in many countries. Yet research on policy conflict is typically based on cases in western, democratic countries. As a result, little is known about the characteristics of policy conflicts in non-western countries, such as China, or how these characteristics compare to western contexts. The Policy Conflict Framework (PCF) was recently developed to help scholars identify, diagnose, and compare policy conflict characteristics. This research uses the PCF to guide a comparative analysis of the nature of policy conflicts in China and the United States. With interview data on policy actors from Chongqing, China and Colorado, USA, we present the findings by comparing the differences and similarities of policy conflicts in the two countries around shale oil and gas development. We conclude with the strengths and limitations of this comparative study of policy conflicts in China and other national contexts, along with recommendations for conducting PCF research in China.","comparative public policy; environmental policy; fracking; policy conflict; policy processes","",""
"Contingent Policy Design: Political Accountability and Environmental Governance in China","Du, J; Yi, HT; Zhu, XF","","","","Existing scholarship often conceptualizes policy design as a static stage in the policy process whereby decision-makers craft policies based on given institutional settings. Our research contends that the fundamental logic underlying policy design can be contingently reshaped by external shocks such as central institutional change. When the central government restructures political institutions, it reconfigures local officials' decision-making rationales throughout the policy process. Leveraging a novel dataset encompassing the removal of Drinking Water Source Protection Zones in Chinese cities from 2005 to 2018, this study examines how cities transformed their policy design rationales in response to a newly established political accountability system by the central government. Empirical results reveal that prior to the reforms, policy design followed an economic performance logic based on city economic characteristics. After the implementation of accountability in water governance, policy design shifted toward a rationale combining a political accountability logic, aimed at hiding misconduct, with a capacity-based logic, focused on achieving quick deliverables within capacity constraints. This study advances the understanding of how institutional arrangements shape policy designs among local policymakers in China. (sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic),(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic).(sic)(sic)(sic)(sic)(sic),(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic).(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic),(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic).(sic)(sic)(sic)(sic)(sic)(sic)2005(sic)(sic)2018(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic),(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic),(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic).(sic)(sic)(sic)(sic)(sic)(sic),(sic)(sic)(sic),(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic).(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic),(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)((sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic))(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)((sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic))(sic)(sic)(sic)(sic)(sic)(sic).(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic). La investigaci & oacute;n existente suele conceptualizar el dise & ntilde;o de pol & iacute;ticas como una etapa est & aacute;tica del proceso pol & iacute;tico, mediante la cual los responsables de la toma de decisiones elaboran pol & iacute;ticas con base en contextos institucionales determinados. Nuestra investigaci & oacute;n sostiene que la l & oacute;gica fundamental que subyace al dise & ntilde;o de pol & iacute;ticas puede ser reconfigurada contingentemente por el cambio institucional. Cuando el gobierno central reestructura las instituciones pol & iacute;ticas, reconfigura las l & oacute;gicas de toma de decisiones de los funcionarios locales a lo largo del proceso pol & iacute;tico. Aprovechando un novedoso conjunto de datos que abarca la eliminaci & oacute;n de las Zonas de Protecci & oacute;n de Fuentes de Agua Potable en ciudades chinas entre 2005 y 2018, este estudio examina c & oacute;mo las ciudades transformaron sus l & oacute;gicas de dise & ntilde;o de pol & iacute;ticas en respuesta a un nuevo sistema de rendici & oacute;n de cuentas pol & iacute;tica establecido por el gobierno central. Los resultados emp & iacute;ricos revelan que, antes de las reformas, el dise & ntilde;o de pol & iacute;ticas segu & iacute;a una l & oacute;gica de rendimiento econ & oacute;mico basada en las caracter & iacute;sticas econ & oacute;micas de la ciudad. Tras la implementaci & oacute;n de la rendici & oacute;n de cuentas en la gobernanza del agua, el dise & ntilde;o de pol & iacute;ticas evolucion & oacute; hacia una l & oacute;gica que combina una l & oacute;gica de rendici & oacute;n de cuentas pol & iacute;tica, orientada a ocultar las faltas de conducta, con una l & oacute;gica basada en la capacidad, centrada en lograr resultados r & aacute;pidos dentro de las limitaciones de capacidad. Este estudio profundiza en la comprensi & oacute;n de c & oacute;mo los acuerdos institucionales configuran el dise & ntilde;o de pol & iacute;ticas entre los responsables pol & iacute;ticos locales en China.","environmental governance; institutional logics; policy design; political accountability; (sic)(sic)(sic)(sic); (sic)(sic)(sic)(sic); (sic)(sic)(sic)(sic); (sic)(sic)(sic)(sic); dise & ntilde;o de pol & iacute;ticas; gobernanza ambiental; rendici & oacute;n de cuentas pol & iacute;tica; l & oacute;gicas institucionales","",""
"Confucian cultural heritage, political ideology, and variable government performance in contemporary China","Yang, XX","","","","This study explores the factors that affect Chinese political identity. Although the Chinese government claims that maintaining the traditional Confucian political heritage represented by the Great Harmony Society ((sic)(sic)(sic)(sic)) and common prosperity is its main source of political legitimacy, this study found that for the majority of Chinese people, their support for the Chinese government is not based on the government's Confucian political heritage, but rather on the government's National Accountability system and national-oriented ideology, For individuals, supporting the state is an unconditional moral requirement, even if the state's performance is not good, so Chinese people have higher political satisfaction. This ideology encourages the state to restrain freedom of the people in the form of omnipotence, and is also responsible for meeting all the needs of the people. This study suggests that China's thousands of years of centralized political tradition and the inertia of large government have made the people more accustomed to an omnipotent government. The governance of the Chinese government is also a model of external Confucianism and internal law((sic)(sic)(sic)(sic)), with Confucian political heritage as the surface propaganda, but the internal system is centralized.","","",""
"China's ocean culture and consciousness: Constructing a maritime great power narrative","Mallory, TG; Chubb, A; Lau, S","","","","China's primary cultural identity tends to be associated with land-oriented, agrarian civilization, despite its lengthy coastline and history of maritime activities. But for the 21st century, as the Chinese central authority has developed a comprehensive national ocean strategy, it has purposefully crafted an identity of China as a maritime great power. Chinese agencies refer to this work as promoting ocean soft power ((SIC))via ocean consciousness propaganda ((SIC)), ocean education ((SIC)) and ocean culture ((SIC)). Based on analysis of Chinese-language sources back to the 1980s, this article examines the origins, planning and implementation of China's state-constructed maritime identity. The article explains the roots of ocean culture and traces how an ocean consciousness campaign expanded from the military to the population in the 1990s, the systemisation of which has culminated in a five-year plan and a National Ocean Consciousness Index. Practical implementation unfolds in the recasting of fifteenth-century navigator Zheng He as a cultural icon; the state's appropriation of Mazu mythology; and use by local governments to foster economic growth. This effort is primarily domestically oriented but has significant international implications. The narrative produced is likely to shape China's role in the global commons, on issues from marine environment and natural resources to polar affairs, boundary disputes and maritime security.","China; Maritime power; Soft power; Ocean consciousness; Ocean culture; Ocean development strategy","",""
"Multi-origin analysis of the traditional Chinese medicine Leiwan","Zhang, WH; Zhang, GL; Lei, HC; Xu, C; Li, J; Xia, X; Jiang, S; Li, N; Tang, LP","","","","This study investigates the taxonomic identity of Leiwan ((sic)(sic)), a traditional medicinal fungus used in Chinese herbal medicine. Over the past two decades, 21 specimens were collected from herbal markets and through extensive field surveys across multiple provinces in China. Both morphological and phylogenetic analyses reveal that Leiwan originates from multi-evolutionary lineages, represented by at least three distinct species: Gerronema brunneosquamulosum ((sic)(sic)(sic)(sic)), G. sinense sp. nov. ((sic)(sic)(sic)(sic)) and Moniliophthora sclerotium sp. nov. ((sic)(sic)(sic)(sic)(sic)(sic)(sic)). We confirm that G. brunneosquamulosum is a valid name for the traditional Chinese medicine Leiwan and propose G. lapidescens as its synonym. Furthermore, M. sclerotium is the first report of a sclerotium-forming species within this genus, marking a significant expansion of its known ecological and morphological diversity. This study provides a taxonomic framework for Leiwan, establishing a scientific basis for future mycological and pharmacological research.","Medicinal fungi; Moniliophthora; phylogenetics; taxonomy","",""
"Evaluating ECMWF Operational Forecasts of the Yunnan-Guizhou Quasi-Stationary Front","Gao, N; Li, J; Zhao, Y; Zhang, JW","","","","The Yunnan-Guizhou quasi-stationary front (YGQSF) is a critical weather system in Southwest China during the cold season (November to April), frequently introducing low-temperature disasters. Accurate forecasting of YGQSF poses significant challenges for operational models. This study evaluates the performance of ECMWF Integrated Forecasting System (IFS) in forecasting YGQSFs by utilizing hourly observational data and a linear fitting method for frontal line identification. From 2020 to 2023, a total of 392 and 261 YGQSFs were identified in observational data and the IFS forecast, respectively. From east to west, the frontal lines gradually change from northwest-southeast-oriented to quasi-north-south-oriented. The northern segments of the frontal lines are concentrated east of the Hengduan Mountains, while the southern segments are dispersed across four high-occurrence regions on the Yungui Plateau. These high-occurrence regions are located on local highlands or their eastern slopes, highlighting the influence of topographic blocking effects. These spatial characteristics of the YGQSFs are well captured by the IFS, especially for the high-occurrence region between 103.5 degrees E and 105 degrees E, which is related to the pronounced spatial temperature gradients enhanced by the large elevation difference. Further analysis focuses on the impact of spatial temperature gradients on the YGQSF forecasting, particularly examining Hits, Misses, and False alarms. The model demonstrates superior performance in forecasting YGQSFs characterized by large temperature gradients and substantial cold air accumulation. Conversely, reduced temperature gradients, stemming from weaker cold air to the east or weaker warm air to the west, increase the risk of Misses. Temporally, the missed YGQSFs are uniformly distributed, while spatially they are scattered. False alarms, however, peak between February and March and are concentrated between 103.5 degrees E and 107.25 degrees E. Overall, forecasting YGQSFs with weak intensity, short frontal lines, or meridional orientation remains particularly challenging. The biases revealed in this study provide valuable insights for enhancing operational forecasting accuracy. (sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic). (sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic), (sic)(sic)(sic)(sic)(sic)(sic)(sic) ECMWF (sic)(sic)(sic)(sic)(sic)(sic) (IFS) (sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic). 2020-2023 (sic)(sic), (sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic) 392 (sic)(sic) 261 (sic) ((sic)(sic) 238(sic),(sic)(sic) 154 (sic),(sic)(sic) 23 (sic)) (sic)(sic)(sic), (sic)(sic)(sic)(sic)(sic)-(sic)(sic)(sic)(sic), (sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic), (sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic). IFS (sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic), (sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic). (sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic), (sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic). (sic)(sic)(sic)(sic), IFS (sic)(sic)(sic)(sic),(sic)(sic)(sic),(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic). (sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic) IFS (sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic).","Yunnan-Guizhou quasi-stationary front; numerical forecast evaluation; ECMWF Integrated Forecasting System (IFS); Yungui Plateau; complex terrain; (sic)(sic)(sic)(sic)(sic)(sic); (sic)(sic)(sic)(sic)(sic)(sic); (sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic); (sic)(sic)(sic)(sic); (sic)(sic)(sic)(sic)","",""
"The Debate on the Chinese and Western Concepts of Hell in the Ming and Qing Dynasties","Zhu, Y","","","","The introduction of Christian culture to China during the late Ming Dynasty marked a pivotal moment in Sino-Western cultural exchanges. Jesuit missionaries, adhering to a strategy of aligning with Confucianism while rejecting Buddhism, encountered significant challenges in gaining acceptance. Their discourse on hell provoked opposition from both Confucian scholars and Buddhists. This paper focuses on key missionary works from the late Ming and early Qing dynasties, specifically Tianzhu shilu <<(sic)(sic)(sic)(sic)>> (True Record of the Lord of Heaven), Tianzhu shiyi <<(sic)(sic)(sic)(sic)>> (The True Meaning of the Lord of Heaven), Sanshan lunxue <<(sic)(sic)(sic)(sic)>> (The Records of Debate in Fuzhou), Tianzhu shengjiao shilu <<(sic)(sic)(sic)(sic)(sic)(sic)>> (True Record of the Sacred Teachings Concerning the Lord of Heaven) and Kouduo richao <<(sic)(sic)(sic)(sic)>> (Diary of Oral Admonitions). Exploring this notable cultural controversy and analyzing the intricate process of rejection and acceptance within this cultural collision will undoubtedly provide special insights into deepening our understanding of different religions' beliefs about the afterlife and facilitating dialogue among civilizations.","debate; hell; Catholicism; Confucianism; Buddhism","",""
"Critical pedagogy of place to enhance ecological engagement activities","Cicchino, AS; Weinberg, AE; McMeeking, LBS; Balgopal, MM","","","","Scientists in higher education institutions around the globe recognize the importance of engaging with public stakeholders to share their enthusiasm, explain their science, and encourage primary and secondary students to enter the sciences. However, without direct consideration of students' and teachers' perspectives and interests, scientists may design activities around their own goals, limiting the impact on school stakeholders (i.e., students, teachers, paraprofessional staff, students' parents, and other caregivers). We drew from natural and social science research to describe how expanding the conception of place beyond the biophysical can help engage school stakeholders in meaningful ways. We describe the multidimensional PLACE framework that we developed to integrate perspectives, knowledge, and values of all stakeholders in engagement programming. The framework is organized around topics that stakeholders should discuss early on to ensure successful partnerships. We recommend that scientists identify and use pedagogy that is inclusive; language framed around dialogic communication methods; aims and motivations centered on engagement; cultural funds of knowledge of place (i.e., disciplinary, personal, or experiential knowledge); and evaluation of engagement based on meaningful metrics. Two case studies are presented to illustrate how the PLACE framework components, when addressed, can lead to robust, successful partnerships between scientists and schools.","critical pedagogy; engagement; K-12 students; place; teachers; docentes; estudiantes K-12; lugar; participacion; pedagogia critica; (sic)(sic)(sic)(sic)(sic)(sic); (sic)(sic); K-12(sic)(sic)","",""
"Love and Ren ((sic)) in plague: An analysis of Martin Luther and Wang Yangming's plague narrative from the perspective of emotion studies","Zhu, Y","","","","As the most important reformers of Confucianism and Christianity, early modern thinkers in China and the West, Wang Yangming and Martin Luther both experienced deadly plagues. This article analyzes how they offered emotional direction and assistance to ordinary Christians or the public through their plague narratives, viewed through the lens of emotion studies. By exploring their response to plague, this article aims to facilitate a dialogue between Wang Yangming's doctrine of extending humanity to form one body with Heaven, Earth and all things ((sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)) and Martin Luther's Christian principle of loving your neighbor as yourself.","emotion; Martin Luther; plague; Wang Yangming","",""
"Renovating Confucian ideas for gender equality: an inquiry of Confucian feminist debates in modern China","Li, W","","","","Contrary to the common perception that Confucianism is incompatible with feminist movement, this article demonstrates that Chinese intellectuals in the 1890s-1920s positively reconstructed and applied Confucian ideas that provide a theoretical and political path to gender equality. Deploying the immanent critique method and grounded theory method to analyze the texts and practices of the intellectuals, the study identified three anchoring elements of the Confucian feminism: 1. benevolent reciprocal and hierarchical relations that extend humanity to all and embrace contribution by all (expansive ren (sic)); 2. critical (jian) dao, the way or path of applying ren, yi ((sic)) and shu ((sic)) to the treatment of women (especially the less advantaged among them); 3. enabling and encouraging women's cultivation for self-progression and contribution to a healthy society (xiuji da datong (sic)(sic)(sic)(sic)(sic)). Different from feminist political liberalism, Confucian feminism during the 1890s-1920s of China promoted the positive (e.g., benevolent and affective) features of reciprocal and hierarchical relations that enable women's self-progression and societal contribution. It has potential to encourage transnational and global feminist politics that advance decolonial solutions from local social and cultural (particularly Asian) contexts.","","",""
"The media in China-Africa public relations: Assessing China's attractiveness beyond economic development assistancePalabras Clave(sic)(sic)(sic)","Ameyaw-Brobbey, T","","","","This work explores China's African public relations and image-building effort, focusing on Nigeria. Thus, the paper's purpose is twofold: first, to investigate whether China's conduct of public diplomacy through its soft power resource-development assistance-has effectively shaped positive Nigerian public perception of China, and second, to determine the media's role in advancing China's public diplomacy in Nigeria. Specifically, it explores the interaction of economic development assistance, media, and public relations. I do this by comparing China's foreign direct investment (FDI) in Nigeria (2010-2019) with the public's perception of the FDI's influence on the Nigerian economy (2016 and 2020) and the media's role in shaping public support toward the investments. Utilizing a range of datasets, I find that Chinese economic investment alone is insufficient to substantially shape positive Nigerian public perception of China. Within a framework of mediated public diplomacy, I demonstrate that the Chinese image-building effort in Nigeria would likely enhance when the country links economic investments with public relations to make the investments more visible through effective media representation.","China; China model; China-Africa public relations; Chinese global leadership; diplomacy; foreign policy; image-building; international public perception; mediated public diplomacy; Nigeria; Sino-African relations; soft power; valence; visibility","",""
"Toward an ASEAN Strategic Narrative: Community, Agency, Inclusivity","Milner, A","","","","At the present time there is a growing interest in strategic narratives. The United States and China, not surprisingly, receive most attention. In an increasingly multi-polar world, however, it is critical to consider the strategic narratives of India, Japan, and Southeast Asia. Significant work has already been focused on individual Southeast Asian states-and some also on ASEAN as a grouping. The present essay seeks to tell the ASEAN story in a manner that helps to formulate a succinct strategic narrative. It presents ASEAN historically in the framework of Asia regionalism-stressing the competition with Pacific regionalism. It then highlights ASEAN's ambitious region building-first in the Southeast Asia sphere and then in the wider East Asia. At a third, even broader level ASEAN seeks to contribute to an Indo-Pacific order-giving prominence to certain longstanding principles, such as inclusivity, non-intervention and the search for consensus. (sic)(sic), (sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic).(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic).(sic)(sic), (sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic), (sic)(sic)(sic)(sic),(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic).(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic), (sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic).(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic).(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic), (sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic).(sic)(sic), (sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)--(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic), (sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic).(sic)(sic)(sic)(sic)(sic)(sic), (sic)(sic)(sic)(sic)(sic)(sic)(sic), (sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic), (sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic), (sic)(sic)(sic)(sic)(sic),(sic)(sic)(sic)(sic)(sic)(sic)(sic)(sic). Actualmente, existe un creciente inter & eacute;s en las narrativas estrat & eacute;gicas. Como era de esperar, Estados Unidos y China son los que reciben mayor atenci & oacute;n. Sin embargo, en un mundo cada vez m & aacute;s multipolar, es crucial considerar las narrativas estrat & eacute;gicas de India, Jap & oacute;n y el Sudeste Asi & aacute;tico. Se han realizado importantes trabajos sobre los estados del Sudeste Asi & aacute;tico individualmente, y algunos tambi & eacute;n sobre la ASEAN como grupo. Este art & iacute;culo presenta hist & oacute;ricamente a la ASEAN en el marco del regionalismo asi & aacute;tico, destacando la competencia con el regionalismo del Pac & iacute;fico. A continuaci & oacute;n, destaca la ambiciosa construcci & oacute;n regional de la ASEAN, primero en el Sudeste Asi & aacute;tico y luego en el Este Asi & aacute;tico en general. En un tercer nivel, a & uacute;n m & aacute;s amplio, la ASEAN busca contribuir a un orden indopac & iacute;fico, priorizando ciertos principios arraigados, como la inclusividad, la no intervenci & oacute;n y la b & uacute;squeda de consenso.","ASEAN; community-building; inclusivity; non-intervention; regionalism; strategic narrative; (sic)(sic); (sic)(sic)(sic)(sic); (sic)(sic)(sic)(sic); (sic)(sic)(sic); (sic)(sic)(sic); (sic)(sic)(sic)(sic)(sic); narrativa estrat & eacute;gica; regionalismo; no intervenci & oacute;n; construcci & oacute;n de comunidad","",""
"Translation of medical terms from an ethical perspective","Shi, AL","","","","This paper explores medical terminology translation from an ethical perspective, focusing on the Chinese translation of Alzheimer's disease. Historically translated as both (sic)(sic)(sic)(sic)(sic) and (sic)(sic)(sic)(sic)(sic)(sic), the latter is now more commonly used. The study examines the intersection of medical and translation ethics, emphasizing the balance between scientific accuracy and humanitarian concern. By tracing the term's development in China, it reveals the complex context of terminology translation. Drawing on ethical theories, the paper highlights the need for accuracy, standardization, and ethical responsibility toward patients. It argues that medical translation goes beyond language conversion to include ethical sensitivity and respect for patient dignity. Ultimately, medical translation should prioritize precision while embracing ethical considerations to promote a humanistic spirit in healthcare communication.","terminology translation; Alzheimer's disease; translation ethics; medical ethics","",""
"Effectiveness of management zoning designed for flagship species in protecting sympatric species","Shen, XL; Li, S; McShea, WJ; Wang, DJ; Yu, JP; Shi, XG; Dong, W; Mi, XC; Ma, KP","","","","Flagship species have been used widely as umbrella species (i.e., species with large home range whose protection often provides protection for sympatric species) in the management of China's nature reserves. This conflation of flagship and umbrella species is best represented by the giant panda (Ailuropoda melanoleuca) and other large, endangered mammals designated as conservation targets in site selection and planning of reserves. Few empirical studies have tested the effectiveness of flagship species as surrogates for a broader range of sympatric species. Using extensive camera-trap data, we examined the effectiveness of management zones designated to protect flagship (target) species in conserving sympatric species in 4 wildlife reserves (Gutianshan, Changqing, Laohegou, and Wolong). We tested whether the progression from peripheral to core zones was associated with an increasing habitat association for both target and sympatric species. The distribution patterns of the study species across the zones in each reserve indicated a disparity between management zones and the species' habitat requirements. Management zone was included in the final model for all target species, and most of them had higher occurrence in core zones relative to less-protected zones, but zone was not a predictor for most of the sympatric species. When management zone was associated with the occurrence of sympatric species, threatened species generally had higher detections in core zones, whereas common species had higher detections outside of the core zone. Our results suggested that reserve planning based on flagship species does not adequately protect sympatric species due to their specialized habitat requirements. We recommend re-examining the effectiveness of management zoning and urge a multispecies and reserve-wide monitoring plan to improve protection of China's wildlife.","camera-trapping; occupancy modeling; protected-area management; spatial zoning; surrogate species; umbrella species; camaras trampa; especie paraguas; especie sustituta; manejo de areas protegidas; modelo de ocupacion; zonacion espacial; & x7ea2;(sic)(sic)(sic)(sic)(sic),& x5360;(sic)(sic)(sic),(sic)(sic)(sic)(sic)(sic),(sic)(sic)(sic)(sic),(sic)(sic)(sic)(sic),& x4f1e;(sic)(sic)(sic)","",""
